msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
Searching for new installed or removed packages. Please wait...,Searching for newly-installed or removed packages...,Searching for new installed or removed packages. Please wait...,Searching for new installed or removed packages. Please wait...,Searching for new installed or removed packages. Please wait...,MISMATCH (ALL),
Searching west ...,Searching west...,Searching west ...,Searching west ...,Searching west ...,MISMATCH (ALL),whitespace
Second cable of motorized LNB,'','','',,EMPTY (SOME),
Secondary DNS,'',Secondary DNS,Secondary DNS,Secondary DNS,INCOMPLETE (ALL),
Seek,'',Seek,Seek,Seek,INCOMPLETE (ALL),
Seek backward,'',Seek backward,Seek backward,Seek backward,INCOMPLETE (ALL),
Seek backward (enter time),'',Seek backward (enter time),Seek backward (enter time),Seek backward (enter time),INCOMPLETE (ALL),
Seek forward,'',Seek forward,Seek forward,Seek forward,INCOMPLETE (ALL),
Seek forward (enter time),'',Seek forward (enter time),Seek forward (enter time),Seek forward (enter time),INCOMPLETE (ALL),
Select,'',Select,Select,Select,INCOMPLETE (ALL),
"Select '1.0' for standard committed switches, '1.1' for uncommitted switches, and '1.2' for systems using a positioner.",'',,'','',EMPTY (SOME),
"Select 'A' or 'B' if your aerial system requires this, otherwise select 'none'. If you are unsure select 'none'.",'',,'','',EMPTY (SOME),
Select 'FBC SCR' if this tuner will connect to a SCR (Unicable/JESS) device. For all other setups select 'FBC automatic'.,,,'','',EMPTY (SOME),
Select 'Yes' when you want to configure this tuner for ATSC,,,'','',EMPTY (SOME),
Select 'Yes' when you want to configure this tuner for DVB-C,,,'','',EMPTY (SOME),
Select 'Yes' when you want to configure this tuner for DVB-S,,,'','',EMPTY (SOME),
Select 'Yes' when you want to configure this tuner for DVB-T,,,'','',EMPTY (SOME),
"Select 'band' if using a 'universal' LNB, otherwise consult your LNB spec sheet.",'',,'','',EMPTY (SOME),
"Select 'enabled' if this tuner has a signal cable connected, otherwise select 'nothing connected'.",'',,'','',EMPTY (SOME),
"Select 'polarisation' if using a 'universal' LNB, otherwise consult your LNB spec sheet.",'',,'','',EMPTY (SOME),
Select 'provider' to scan from the predefined list of cable multiplexes. Select 'bands' to only scan certain parts of the spectrum. Select 'steps' to scan in steps of a particular frequency bandwidth.,'',,'','',EMPTY (SOME),
"Select 'yes' if this tuner is connected to the SCR device through another tuner, otherwise select 'no'.",'',,'','',EMPTY (SOME),
Select 'yes' to choose what bands or step sizes will be scanned.,,,'','',EMPTY (SOME),
Select 'yes' to include %s multiplexes in your search.,'',,'','',EMPTY (SOME),
Select 'yes' to include symbol rate %s in your search.,'',,'','',EMPTY (SOME),
Select 'yes' to include the %s band in your search.,'',,'','',EMPTY (SOME),
"Select 'yes' to only send the DiSEqC command when changing from one satellite to another, or select 'no' for the DiSEqC command to be resent on every zap.",'',,'','',EMPTY (SOME),
Select CAId,'',Select CAId,Select CAId,Select CAId,INCOMPLETE (ALL),
Select Channel,,,'',,SOLITARY,
Select Fast DiSEqC if your aerial system supports this. If you are unsure select 'no'.,'',,'','',EMPTY (SOME),
Select HDD,'','',Select HDD,,INCOMPLETE (SOME),
Select a bouquet,'',,Select a bouquet,,INCOMPLETE (SOME),
Select a movie,'',,Select a movie,,INCOMPLETE (SOME),
Select a network adapter,'',,Select a network adapter,,INCOMPLETE (SOME),
Select a tuner,'',,Select a tuner,,INCOMPLETE (SOME),
Select a wireless network,'',Select a wireless network,Select a wireless network,Select a wireless network,INCOMPLETE (ALL),
Select action,'',,'',,EMPTY (SOME),
Select action for timer '%s'.,,,'',,SOLITARY,
Select all,,,'',,SOLITARY,
Select audio track,Select Audio Track,Select audio track,Select audio track,Select audio track,MISMATCH (ALL),capitalisation
Select backup files,,Select backup files,Select backup files,Select backup files,UNCHANGED (SOME),
Select backup location,'',Select backup location,Select backup location,Select backup location,INCOMPLETE (ALL),
Select channel,,,'',,SOLITARY,
Select channel to record from,Select channel to record,Select channel to record from,Select channel to record from,Select channel to record from,MISMATCH (ALL),
Select copy destination for:,'',Select copy destination for:,Select copy destination for:,Select copy destination for:,INCOMPLETE (ALL),
Select destination for:,'',Select destination for:,Select destination for:,Select destination for:,INCOMPLETE (ALL),
Select files for backup.,,Select files for backup.,Select files for backup.,Select files for backup.,UNCHANGED (SOME),
Select files/folders to backup,Select files/folders to back up,Select files/folders to backup,Select files/folders to backup,Select files/folders to backup,MISMATCH (ALL),whitespace
Select horizontal resolution:,,,'',,SOLITARY,
Select how quickly the dish should move between satellites.,'',,'','',EMPTY (SOME),
"Select how the satellite dish is set up. i.e. fixed dish, single LNB, DiSEqC switch, positioner, etc.",'',,'','',EMPTY (SOME),
Select input device,Select Input Device,Select input device,Select input device,,MISMATCH (SOME),capitalisation
Select input device.,'',Select input device.,Select input device.,Select input device.,INCOMPLETE (ALL),
Select interface,'',Select interface,Select interface,Select interface,INCOMPLETE (ALL),
Select location,'',Select location,'',Select location,INCOMPLETE (ALL),
Select movie,'',Select movie,Select movie,Select movie,INCOMPLETE (ALL),
Select provider to add...,Select a provider to add...,Select provider to add...,Select provider to add...,Select provider to add...,MISMATCH (ALL),
Select refresh rate,'',Select refresh rate,Select refresh rate,Select refresh rate,INCOMPLETE (ALL),
Select satellites,'',,'',,EMPTY (SOME),
Select service to add...,Select a service to add...,Select service to add...,Select service to add...,Select service to add...,MISMATCH (ALL),
Select slot,,,'',,SOLITARY,
Select sort method:,'',,'',,EMPTY (SOME),
Select target folder,'',Select target folder,Select target folder,Select target folder,INCOMPLETE (ALL),
Select the User Band channel to be assigned to this tuner. This is an index into the table of frequencies the SCR switch or SCR LNB uses to pass the requested transponder to the tuner.,,,'','',EMPTY (SOME),
Select the User Band frequency to be assigned to this tuner. This is the frequency the SCR switch or SCR LNB uses to pass the requested transponder to the tuner.,'',,'','',EMPTY (SOME),
Select the User Band to be assigned to this tuner. This is an index into the table of frequencies the SCR switch or SCR LNB uses to pass the requested transponder to the tuner.,,,'','',EMPTY (SOME),
Select the character or action under the keyboard cursor,'',,'','',EMPTY (SOME),
"Select the manufacturer of your SCR device. If the manufacturer is not listed, set 'SCR' to 'user defined' and enter the device parameters manually according to its spec sheet.",'',,'','',EMPTY (SOME),
"Select the model number of your SCR device. If the model number is not listed, set 'SCR' to 'user defined' and enter the device parameters manually according to its spec sheet.",,,'','',EMPTY (SOME),
Select the movie path,'',Select the movie path,Select the movie path,Select the movie path,INCOMPLETE (ALL),
"Select the protocol used by your SCR device. Choices are 'SCR Unicable' (Unicable), or 'SCR JESS' (JESS, also known as Unicable II).",'',,'','',EMPTY (SOME),
"Select the satellite which is connected to Port-A of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.","Select the satellite which is connected to Port A of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.",,'','',INCOMPLETE (SOME),
"Select the satellite which is connected to Port-B of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.","Select the satellite which is connected to Port B of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.",,'','',INCOMPLETE (SOME),
"Select the satellite which is connected to Port-C of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.","Select the satellite which is connected to Port C of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.",,'','',INCOMPLETE (SOME),
"Select the satellite which is connected to Port-D of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.","Select the satellite which is connected to Port D of your switch. If you are unsure select 'automatic' and the receiver will attempt to determine this for you. If nothing is connected to this port, select 'nothing connected'.",,'','',INCOMPLETE (SOME),
Select the satellite you want to configure. Once that satellite is configured you can select and configure other satellites that will be accessed using this same tuner.,"Select the satellite you want to configure. Once that satellite is configured, you can select and configure other satellites that will be accessed using this same tuner.",,'','',INCOMPLETE (SOME),
Select the satellite your dish receives from. If you are unsure select 'automatic' and the receiver will attempt to determine this for you.,Select the satellite your dish is pointed at. If you are unsure select 'automatic' and the receiver will attempt to determine this for you.,,'','',INCOMPLETE (SOME),
Select the shifted character set for the next character only,'',,'','',EMPTY (SOME),
Select the time zone within the area or region.,'',,'',,EMPTY (SOME),
Select the tuner that controls the motorised dish.,Select which tuner should be used to control the motorized dish.,,'','',INCOMPLETE (SOME),
Select the tuner that this loopthrough depends on.,'',,'','',EMPTY (SOME),
Select the tuner to which the signal cable of the SCR device is connected.,Select the tuner your SCR device is connected to,,'','',INCOMPLETE (SOME),
Select the type of LNB/device being used (normally 'Universal'). If your LNB type is not available select 'user defined'.,'',,'','',EMPTY (SOME),
Select the type of Single Cable Reception device you are using.,'',,'','',EMPTY (SOME),
Select update source,,,Select update source,,SOLITARY,
Select update source to edit,,,Select update source to edit,,SOLITARY,
Select video input with up/down buttons,'',Select video input with up/down buttons,Select video input with up/down buttons,Select video input with up/down buttons,INCOMPLETE (ALL),
Select video mode,'',Select video mode,Select video mode,Select video mode,INCOMPLETE (ALL),
Select whether your SCR device is externally powered.,,,'','',EMPTY (SOME),
Select wireless network,'',Select wireless network,Select wireless network,Select wireless network,INCOMPLETE (ALL),
Select your backup device.\nCurrent device: ,,,Select your backup device.\nCurrent device: ,,SOLITARY,
Select your country. If not available select 'all'.,"Select your country. If it's not listed, select 'all'",,'','',INCOMPLETE (SOME),
Select your provider and region. If not present in this list you will need to select one of the other 'service scan types'.,"Select your provider and region. If they're not listed, you'll need to select a different 'service scan type'.",,'','',INCOMPLETE (SOME),
"Select your provider, and press OK to start the scan","Select your provider, then press OK to start the scan","Select your provider, and press OK to start the scan","Select your provider, and press OK to start the scan","Select your provider, and press OK to start the scan",MISMATCH (ALL),
Select your region. If not available change 'Country' to 'all' and select one of the default alternatives.,"Select your region. If it's not listed, change 'Country' to 'all' and select one of the default alternatives.",,'','',INCOMPLETE (SOME),
Select your time zone area or region.,'',,'',,EMPTY (SOME),
Selecting satellites 1 (USALS),'',,'',,EMPTY (SOME),
Selecting satellites 2 (USALS),'',,'',,EMPTY (SOME),
Selecting this option allows you to configure a group of satellites in one block.,Selecting this option lets you to configure a group of satellites in one block.,,'',,INCOMPLETE (SOME),
Selects the mode how live tv should be shown on the LCD.,,,'',,SOLITARY,
Selects video source displayed on the LCD.,,,'',,SOLITARY,
Send 'sourceactive' before zap timers,,'','','',EMPTY (SOME),
Send DiSEqC,'',Send DiSEqC,Send DiSEqC,Send DiSEqC,INCOMPLETE (ALL),
Send DiSEqC only on satellite change,'',Send DiSEqC only on satellite change,Send DiSEqC only on satellite change,Send DiSEqC only on satellite change,INCOMPLETE (ALL),
Senegal,'',,'','',EMPTY (SOME),
Separate titles with a main menu,,,Separate titles with a main menu,,SOLITARY,
Sequence repeat,'',Sequence repeat,Sequence repeat,Sequence repeat,INCOMPLETE (ALL),
Serbian,српски (Serbian),Serbian,Serbian,Serbian,MISMATCH (ALL),
Service,'',Service,Service,Service,INCOMPLETE (ALL),
Service & PIDs,,,'',,SOLITARY,
Service ID,,,'',,SOLITARY,
Service belongs to a parental protected bouquet,,,'',,SOLITARY,
Service has been added to the favourites.,Channel has been added to favorites.,Service has been added to the favourites.,Service has been added to the favourites.,,MISMATCH (SOME),
Service has been added to the selected bouquet.,Channel has been added to the selected bouquet.,Service has been added to the selected bouquet.,Service has been added to the selected bouquet.,,MISMATCH (SOME),
Service info,Chanbnel info,,Service info,,MISMATCH (SOME),
Service info - service & PIDs,,,'',,SOLITARY,
Service info - tuner live values,,,'',,SOLITARY,
Service info - tuner setting values,,,'',,SOLITARY,
Service invalid!\n(Timeout reading PMT),'',Service invalid!\n(Timeout reading PMT),Service invalid!\n(Timeout reading PMT),Service invalid!\n(Timeout reading PMT),INCOMPLETE (ALL),
Service name,Channel name,'',Service name,,MISMATCH (SOME),
Service not found!\n(SID not found in PAT),'',Service not found!\n(SID not found in PAT),Service not found!\n(SID not found in PAT),Service not found!\n(SID not found in PAT),INCOMPLETE (ALL),
Service reference,'',Service reference,Service reference,Service reference,INCOMPLETE (ALL),
Service scan,Channel Scan,Service scan,Service scan,Service scan,MISMATCH (ALL),
Service title mode,,'',Service title mode,,INCOMPLETE (SOME),
Service unavailable!\nCheck tuner configuration!,Channel unavailable!\nCheck tuner configuration!,Service unavailable!\nCheck tuner configuration!,Service unavailable!\nCheck tuner configuration!,Service unavailable!\nCheck tuner configuration!,MISMATCH (ALL),
Servicename,,,'',,SOLITARY,
Services,Channels,Services,Services,Services,MISMATCH (ALL),
Set CI assignment for detection of available services.,'','','','',EMPTY (ALL),
Set PIN,,,'',,SOLITARY,
Set all hotkey to default?,,,'',,SOLITARY,
Set alternative fallback tuners for DVB-T/C or ATSC,,,'',,SOLITARY,
Set as startup service,,,Set as startup service,,SOLITARY,
Set blocktimes by weekday,,,'',,SOLITARY,
Set default,'','','',,EMPTY (SOME),
Set end time,Enable end time,Set end time,Set end time,Set end time,MISMATCH (ALL),
Set fixed,'',Set fixed,Set fixed,Set fixed,INCOMPLETE (ALL),
Set fps for external subtitles,External subtitle FPS,Set fps for external subtitles,Set fps for external subtitles,Set fps for external subtitles,MISMATCH (ALL),
"Set if You want see status icons, progress bars or nothing.",,,'',,SOLITARY,
Set interface as default Interface,,Set interface as default Interface,Set interface as default Interface,,UNCHANGED (SOME),
Set limits,'',Set limits,Set limits,Set limits,INCOMPLETE (ALL),
Set pin code persistent,Set persistent PIN code,'','','',INCOMPLETE (ALL),
"Set sequence repeats if your aerial system requires this. Normally if the aerial system has been configured correctly sequence repeats will not be necessary. If yours does, recheck you have command order set correctly.",'',,'','',EMPTY (SOME),
Set startup service,Select when to set this as the startup channel,,'',,INCOMPLETE (SOME),
Set the User ID of the OpenWebif from your fallback tuner,,,'',,SOLITARY,
Set the password of the OpenWebif from your fallback tuner,,,'',,SOLITARY,
Set the port of the OpenWebif from your fallback tuner,,,'',,SOLITARY,
Set the type of the progress indication in the channel selection screen.,Set the type of progress indicator to show on the channel list.,Set the type of the progress indication in the channel selection screen.,Set the type of the progress indication in the channel selection screen.,Set the type of the progress indication in the channel selection screen.,MISMATCH (ALL),
Set time window to 1 hour,'','',Set time window to 1 hour,,INCOMPLETE (SOME),
Set time window to 2 hours,'','',Set time window to 2 hours,,INCOMPLETE (SOME),
Set time window to 3 hours,'','',Set time window to 3 hours,,INCOMPLETE (SOME),
Set time window to 4 hours,'','',Set time window to 4 hours,,INCOMPLETE (SOME),
Set time window to 5 hours,'','',Set time window to 5 hours,,INCOMPLETE (SOME),
Set time window to 6 hours,'','','',,EMPTY (SOME),
Set voltage and 22KHz,'',Set voltage and 22KHz,Set voltage and 22KHz,Set voltage and 22KHz,INCOMPLETE (ALL),
Settings,'',Settings,Settings,Settings,INCOMPLETE (ALL),
Settings can be different for each directory separately (for non removeable devices only).,,,'',,SOLITARY,
Setup,'',Setup,Setup,Setup,INCOMPLETE (ALL),
Setup menu,'',Setup menu,Setup menu,Setup menu,INCOMPLETE (ALL),
Setup mode,'',Setup mode,Setup mode,Setup mode,INCOMPLETE (ALL),
Setup your positioner,Set up your positioner,Setup your positioner,Setup your positioner,Setup your positioner,MISMATCH (ALL),whitespace
Setup your satellite equipment,Set up your satellite equipment,Setup your satellite equipment,Setup your satellite equipment,Setup your satellite equipment,MISMATCH (ALL),whitespace
Seychelles,'',,'','',EMPTY (SOME),
Sharpness,'',Sharpness,Sharpness,Sharpness,INCOMPLETE (ALL),
Shellscript,'',,'',,EMPTY (SOME),
Shift,'',,'','',EMPTY (SOME),
Short filenames,'',Short filenames,Short filenames,Short filenames,INCOMPLETE (ALL),
Show Audioselection,Show audio selection,'','',,INCOMPLETE (SOME),
Show CI messages,'','','',,EMPTY (SOME),
Show EIT now/next in infobar,Show Now/Next on infobar,Show EIT now/next in infobar,Show EIT now/next in infobar,Show EIT now/next in infobar,MISMATCH (ALL),
Show EPG for current channel...,Show EPG for the current channel...,Show EPG for current channel...,Show EPG for current channel...,,MISMATCH (SOME),
Show EPG...,,,Show EPG...,,SOLITARY,
Show Games show,,Show Games show,Show Games show,,UNCHANGED (SOME),
Show InfoBar,,'','',,EMPTY (SOME),
Show PiP,,,'',,SOLITARY,
Show SNR percentage instead of dB value,,,Show SNR percentage instead of dB value,,SOLITARY,
Show True/False as graphical switch,Show yes/no options as graphical switch,,'','',INCOMPLETE (SOME),
Show VCR scart on main menu,Show VCR scart on Main menu,Show VCR scart on main menu,'',Show VCR scart on main menu,MISMATCH (ALL),
Show WLAN status,Show wireless network status,Show WLAN status,Show WLAN status,Show WLAN status,MISMATCH (ALL),
Show alternatives,,,Show alternatives,,SOLITARY,
Show animation while busy,'',Show animation while busy,Show animation while busy,Show animation while busy,INCOMPLETE (ALL),
Show background behind subtitles,,,'',,SOLITARY,
Show background in radio mode,,,Show background in radio mode,,SOLITARY,
Show bouquet selection menu,'','',Show bouquet selection menu,,INCOMPLETE (SOME),
Show busy indicator when the system is busy.,,,Show busy indicator when the system is busy.,,SOLITARY,
Show channel numbers in channel selection,Show channel numbers,Show channel numbers in channel selection,Show channel numbers in channel selection,Show channel numbers in channel selection,MISMATCH (ALL),
Show columns,'','','',,EMPTY (SOME),
Show crypto icons,'','','',,EMPTY (SOME),
Show crypto info in infobar,Show crypto info on infobar,Show crypto info in infobar,Show crypto info in infobar,Show crypto info in infobar,MISMATCH (ALL),
Show detailed event info,'',Show detailed event info,Show detailed event info,Show detailed event info,INCOMPLETE (ALL),
Show event details,'',Show event details,Show event details,Show event details,INCOMPLETE (ALL),
Show event-progress in channel selection,Show event progress,Show event-progress in channel selection,Show event-progress in channel selection,Show event-progress in channel selection,MISMATCH (ALL),
Show eventinfo plugins,'',,'',,EMPTY (SOME),
Show extended description,'',Show extended description,Show extended description,Show extended description,INCOMPLETE (ALL),
Show extension selection,'',,'',,EMPTY (SOME),
Show extensions...,'',Show extensions...,Show extensions...,Show extensions...,INCOMPLETE (ALL),
Show favourites list,'',,'',,EMPTY (SOME),
Show help,'',,'',,EMPTY (SOME),
Show icon for new/unseen items,'',Show icon for new/unseen items,Show icon for new/unseen items,Show icon for new/unseen items,INCOMPLETE (ALL),
Show in extensions menu,,'','',,EMPTY (SOME),
Show info,'',Show info,Show info,Show info,INCOMPLETE (ALL),
Show info line,'',Show info line,Show info line,Show info line,INCOMPLETE (ALL),
Show infobar on channel change,'',Show infobar on channel change,Show infobar on channel change,Show infobar on channel change,INCOMPLETE (ALL),
Show infobar on event change,'',Show infobar on event change,Show infobar on event change,Show infobar on event change,INCOMPLETE (ALL),
Show infobar on skip forward/backward,'',Show infobar on skip forward/backward,Show infobar on skip forward/backward,Show infobar on skip forward/backward,INCOMPLETE (ALL),
Show latest commits,,,'',,SOLITARY,
Show latest update log,,,'',,SOLITARY,
Show media player on main menu,,,Show media player on main menu,,SOLITARY,
Show menu or plugin numbers,,,'',,SOLITARY,
Show menu paths,,,'',,SOLITARY,
Show message when recording starts,Show notification when recordings start,Show message when recording starts,Show message when recording starts,Show message when recording starts,MISMATCH (ALL),
Show movie lengths in movielist,Show movie durations in movie list,Show movie lengths in movielist,Show movie lengths in movielist,,MISMATCH (SOME),
Show movies,'',,'',,EMPTY (SOME),
Show multi channel EPG,'',,'',,EMPTY (SOME),
Show notification when import channels and/or EPG from remote receiver URL did not complete,,,'',,SOLITARY,
Show notification when import channels and/or EPG from remote receiver URL is completed,,,'',,SOLITARY,
Show notification when import channels was not successful,,,'',,SOLITARY,
Show notification when import channels was successful,,,'',,SOLITARY,
Show packages to be updated,,,'',,SOLITARY,
Show picons in channel selection list,,,'',,SOLITARY,
Show picons in display,,,'',,SOLITARY,
Show positioner movement,Positioner movement indicator,Show positioner movement,Show positioner movement,Show positioner movement,MISMATCH (ALL),
Show positioner position,,,'',,SOLITARY,
Show record clock icons,,,'',,SOLITARY,
Show record indicator,'','','',,EMPTY (SOME),
Show screensaver,Screensaver delay,Show screensaver,Show screensaver,Show screensaver,MISMATCH (ALL),
Show second InfoBar,,,'',,SOLITARY,
Show second infobar,,Show second infobar,Show second infobar,Show second infobar,UNCHANGED (SOME),
Show service list,Show channel list,,'',,INCOMPLETE (SOME),
Show service name and event description among each other instead of side by side.,,,'',,SOLITARY,
Show service type icons,'',Show service type icons,Show service type icons,Show service type icons,INCOMPLETE (ALL),
Show servicelist or movies,Show channel list or movies,,'',,INCOMPLETE (SOME),
Show single service EPG,Show Single EPG for the current channel,,'',,INCOMPLETE (SOME),
Show status icons in movie list,,,Show status icons in movie list,Show status icons in movie list,UNCHANGED (SOME),
Show status icons in movielist,Show status icons in movie list,Show status icons in movielist,Show status icons in movielist,,MISMATCH (SOME),whitespace
Show subservice selection,'',,'',,EMPTY (SOME),
Show subtitle selection,'',,'',,EMPTY (SOME),
Show symbols on display,,,'',,SOLITARY,
Show the radio player...,'',Show the radio player...,Show the radio player...,Show the radio player...,INCOMPLETE (ALL),
Show the tv player...,Show the TV player...,Show the tv player...,Show the tv player...,Show the tv player...,MISMATCH (ALL),capitalisation
Show transponder info,,,Show transponder info,,SOLITARY,
Show two lines per entry,'',,'','',EMPTY (SOME),
Show vertical timelines,,,'',,SOLITARY,
Show warning before set 'Ignore conflict',,,'',,SOLITARY,
Show warning when timeshift is stopped,'',Show warning when timeshift is stopped,Show warning when timeshift is stopped,Show warning when timeshift is stopped,INCOMPLETE (ALL),
Show/hide window,,,'',,SOLITARY,
Shows live tv or informations on LCD.,Shows live TV or information on the front panel display.,'','','',INCOMPLETE (ALL),
Shows the state of your wireless LAN connection.\n,Shows the state and details of your wireless network connection.\n,Shows the state of your wireless LAN connection.\n,Shows the state of your wireless LAN connection.\n,Shows the state of your wireless LAN connection.\n,MISMATCH (ALL),
Shuffle playlist,'',Shuffle playlist,Shuffle playlist,Shuffle playlist,INCOMPLETE (ALL),
Shutdown,Shut down,Shutdown,Shutdown,,MISMATCH (SOME),whitespace
Shutdown when in Standby,,,'',,SOLITARY,
Side by side,'',Side by side,Side by side,Side by side,INCOMPLETE (ALL),
Sierra Leone,'',,'','',EMPTY (SOME),
"Signal OK, proceeding",'',"Signal OK, proceeding","Signal OK, proceeding","Signal OK, proceeding",INCOMPLETE (ALL),
Signal quality,'',Signal quality,Signal quality,Signal quality,INCOMPLETE (ALL),
Signal strength:,'',Signal strength:,Signal strength:,Signal strength:,INCOMPLETE (ALL),
Signal: ,'',Signal: ,Signal: ,Signal: ,INCOMPLETE (ALL),
Similar,Find similar,Similar,Similar,Similar,MISMATCH (ALL),
Similar EPG,,,'',,SOLITARY,
Similar broadcasts:,'',Similar broadcasts:,Similar broadcasts:,Similar broadcasts:,INCOMPLETE (ALL),
Simple,simple,Simple,Simple,Simple,MISMATCH (ALL),capitalisation
Simple titleset (compatibility for legacy players),'',Simple titleset (compatibility for legacy players),Simple titleset (compatibility for legacy players),Simple titleset (compatibility for legacy players),INCOMPLETE (ALL),
Single,single,Single,Single,Single,MISMATCH (ALL),capitalisation
Single EPG,'',Single EPG,Single EPG,Single EPG,INCOMPLETE (ALL),
Single satellite,'',Single satellite,Single satellite,Single satellite,INCOMPLETE (ALL),
Single step (GOP),single step (GOP),Single step (GOP),Single step (GOP),Single step (GOP),MISMATCH (ALL),capitalisation
Sint Maarten (Dutch part),"Sint Maarten, Dutch part",,'','',INCOMPLETE (SOME),
Site latitude,'',Site latitude,Site latitude,Site latitude,INCOMPLETE (ALL),
Site longitude,'',Site longitude,Site longitude,Site longitude,INCOMPLETE (ALL),
Skin & Resolution: %s (%sx%s)\n,,,'',,SOLITARY,
SkinSelector: Restart GUI,,,'',,SOLITARY,
Skins,'',Skins,Skins,Skins,INCOMPLETE (ALL),
Skip empty services,Hide empty channels,Skip empty services,Skip empty services,Skip empty services,MISMATCH (ALL),
Skip internet connection check (disables automatic package installation),'',Skip internet connection check (disables automatic package installation),Skip internet connection check (disables automatic package installation),Skip internet connection check (disables automatic package installation),INCOMPLETE (ALL),
Sleep timer,,,Sleep timer,,SOLITARY,
SleepTimer Configuration,,,'',,SOLITARY,
Sleeptimer,,,'',,SOLITARY,
Sleeptimer edit,,,'',,SOLITARY,
Slide picture in loop,'',Slide picture in loop,Slide picture in loop,Slide picture in loop,INCOMPLETE (ALL),
Slide show interval (sec.),Slide show interval in seconds,Slide show interval (sec.),Slide show interval (sec.),Slide show interval (sec.),MISMATCH (ALL),
Slot %d,'',Slot %d,Slot %d,Slot %d,INCOMPLETE (ALL),
Slovak,Slovenčina (Slovak),Slovak,Slovak,Slovak,MISMATCH (ALL),
Slovenian,Slovenščina (Slovene),Slovenian,Slovenian,Slovenian,MISMATCH (ALL),
Slow,'',Slow,Slow,Slow,INCOMPLETE (ALL),
Slow motion speeds,'',Slow motion speeds,Slow motion speeds,Slow motion speeds,INCOMPLETE (ALL),
Small,'',,'','',EMPTY (SOME),
Small progress,small progress,Small progress,Small progress,Small progress,MISMATCH (ALL),capitalisation
Smartcard PIN,'',,'','',EMPTY (SOME),
Smooth,'',,'','',EMPTY (SOME),
Social/Political/Economics,'',Social/Political/Economics,Social/Political/Economics,Social/Political/Economics,INCOMPLETE (ALL),
SocketMMI,,,'',,SOLITARY,
SoftCam / CI,,SoftCam / CI,SoftCam / CI,,UNCHANGED (SOME),
Software,'',Software,Software,Software,INCOMPLETE (ALL),
Software management,Software Management,Software management,Software management,Software management,MISMATCH (ALL),capitalisation
Software manager setup,Software Manager Setup,Software manager setup,Software manager setup,Software manager setup,MISMATCH (ALL),capitalisation
Software update,'',Software update,Software update,Software update,INCOMPLETE (ALL),
Softwaremanager information,Software Manager Information,Softwaremanager information,Softwaremanager information,Softwaremanager information,MISMATCH (ALL),
Solomon Islands,'',,'','',EMPTY (SOME),
Somalia,'',,'','',EMPTY (SOME),
Some plugins are not available:\n,'',Some plugins are not available:\n,Some plugins are not available:\n,Some plugins are not available:\n,INCOMPLETE (ALL),
"Sorry, %s has not been installed!","Sorry, %s hasn't been installed!","Sorry, %s has not been installed!","Sorry, %s has not been installed!","Sorry, %s has not been installed!",MISMATCH (ALL),
"Sorry, deleting directories can (for now) only be done through the trash can.",,,"Sorry, deleting directories can (for now) only be done through the trash can.",,SOLITARY,
"Sorry, no backups found!","Sorry, no backups were found!","Sorry, no backups found!","Sorry, no backups found!","Sorry, no backups found!",MISMATCH (ALL),
"Sorry, no details available!","Sorry, no details are available!","Sorry, no details available!","Sorry, no details available!","Sorry, no details available!",MISMATCH (ALL),
"Sorry, this tuner is in use.",,,'','',EMPTY (SOME),
"Sorry, your backup destination is not writeable.\nPlease select a different one.","Sorry, your backup destination isn'tt writeable.\nPlease select a different location.","Sorry, your backup destination is not writeable.\nPlease select a different one.","Sorry, your backup destination is not writeable.\nPlease select a different one.","Sorry, your backup destination is not writeable.\nPlease select a different one.",MISMATCH (ALL),
Sort,'',Sort,Sort,Sort,INCOMPLETE (ALL),
Sort A-Z,,,Sort A-Z,,SOLITARY,
Sort by,'','','',,EMPTY (SOME),
Sort list to default and exit?,'',,'','',EMPTY (SOME),
Sort list:,'','','',,EMPTY (SOME),
Sort order for menu entries,Menu item sort order,,'',,INCOMPLETE (SOME),
Sort order for setup entries,,,'',,SOLITARY,
Sort plugins list to default?,,,'','',EMPTY (SOME),
Sort time,,,Sort time,,SOLITARY,
Sorting of playlists,,,Sorting of playlists,,SOLITARY,
Sound,'',Sound,Sound,Sound,INCOMPLETE (ALL),
Sound carrier,'',Sound carrier,Sound carrier,Sound carrier,INCOMPLETE (ALL),
Source request,'',Source request,Source request,Source request,INCOMPLETE (ALL),
South,'',South,South,South,INCOMPLETE (ALL),
South Africa,'',,'','',EMPTY (SOME),
South Georgia and the South Sandwich Islands,'',,'','',EMPTY (SOME),
Spain,'',,'','',EMPTY (SOME),
